From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
NMUR1	Q9HB89	reviewed	NMUR1_HUMAN	Neuromedin-U receptor 1 (NMU-R1) (G-protein coupled receptor 66) (G-protein coupled receptor FM-3)	NMUR1 GPR66	Homo sapiens (Human)	426
LPAR2	Q9HBW0	reviewed	LPAR2_HUMAN	Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)	LPAR2 EDG4 LPA2	Homo sapiens (Human)	348
GPR35	Q9HC97	reviewed	GPR35_HUMAN	G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor)	GPR35	Homo sapiens (Human)	309
LTB4R2	Q9NPC1	reviewed	LT4R2_HUMAN	Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2)	LTB4R2 BLT2R BLTR2	Homo sapiens (Human)	358
GPR84	Q9NQS5	reviewed	GPR84_HUMAN	G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33)	GPR84 EX33	Homo sapiens (Human)	396
CYSLTR2	Q9NS75	reviewed	CLTR2_HUMAN	Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321)	CYSLTR2 CYSLT2 CYSLT2R PSEC0146	Homo sapiens (Human)	346
LPAR3	Q9UBY5	reviewed	LPAR3_HUMAN	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)	LPAR3 EDG7 LPA3	Homo sapiens (Human)	353
UTS2R	Q9UKP6	reviewed	UR2R_HUMAN	Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (Urotensin II receptor) (UR-II-R)	UTS2R GPR14	Homo sapiens (Human)	389
GPR132	Q9UNW8	reviewed	GP132_HUMAN	Probable G-protein coupled receptor 132 (G2 accumulation protein)	GPR132 G2A	Homo sapiens (Human)	380
GPR34	Q9UPC5	reviewed	GPR34_HUMAN	Probable G-protein coupled receptor 34	GPR34	Homo sapiens (Human)	381
CYSLTR1	Q9Y271	reviewed	CLTR1_HUMAN	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81)	CYSLTR1 CYSLT1	Homo sapiens (Human)	337
GPR55	Q9Y2T6	reviewed	GPR55_HUMAN	G-protein coupled receptor 55	GPR55	Homo sapiens (Human)	319
HRH3	Q9Y5N1	reviewed	HRH3_HUMAN	Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97)	HRH3 GPCR97	Homo sapiens (Human)	445
NPFFR2	Q9Y5X5	reviewed	NPFF2_HUMAN	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	NPFFR2 GPR74 NPFF2 NPGPR	Homo sapiens (Human)	522
